,Question,Range,Scorer 2 - Objective (1) / Subjective (0),Scorer 1 - Objective (1) / Subjective (0),Needs review?,82.98%,Comments 
28,"From which ecosystem has the company hired from, raised money, or completed deals — VCs?
 - $10m+: award 1 pt
 - $2m to $10m: award 0.67 pts
 - $250k to $2m: award 0.33 pts
 - None: award 0 pts","[1, 0.67, 0.33, 0]",,1,FALSE,,
29,"From which ecosystem has the company hired from, raised money, or completed deals — Grants/NGOs?
 - $10m+: award 1 pt
 - $2m to $10m: award 0.67 pts
 - $250k to $2m: award 0.33 pts
 - None: award 0 pts","[1, 0.67, 0.33, 0]",,1,FALSE,,
30,"From which ecosystem has the company hired from, raised money, or completed deals — Strategic Investors?
 - $10m+: award 1 pt
 - $2m to $10m: award 0.67 pts
 - $250k to $2m: award 0.33 pts
 - None: award 0 pts","[1, 0.67, 0.33, 0]",,1,FALSE,,
31,"To what extent has the team hired or supervised senior subject matter/functional experts?
 - More than 10 people: award 1 pt
 - 2 to 10 people: award 0.67 pts
 - 1 to 2 people: award 0.33 pts
 - None: award 0 pts","[1, 0.67, 0.33, 0]",,1,FALSE,,
,,,,1,FALSE,,
,9. Executive Summary ,,,,,,
1,Does the company have a formal company name?,"[0, 1]",,1,FALSE,,
2,Is clear and complete contact information provided?,"[0, 1]",,1,FALSE,,
3,Does the company have a formal company logo?,"[0, 1]",,1,FALSE,,
4,Has the company identified a market category (or CleanTech Category)?,"[0, 1]",,1,FALSE,,
5,"Is a brief company business history provided? (EG employees, years operational, etc.)","[0, 1]",,1,FALSE,,
6,Does the company list current senior management skills and identify skill gaps?,"[0, 1]",,1,FALSE,,
7,"Business Description: Has the company provided an easily understood, concise overview of its vision and value proposition to defined market(s) and routes to those market(s) that is clear to a non-expert?","[0, 1]",,0,FALSE,,
8,Has the company specified the initial commercial offering(s)?,"[0, 1]",,1,FALSE,,
9,Is factual / third-party / verifiable information supporting this provided?,"[0, 1]",,1,FALSE,,
10,"Is a clear description of the value chain provided that identifies associated, involved, or required existing industry entities?","[0, 1]",,1,FALSE,,
11,"Does the company identify customers (IE have bought), development partners (IE beta product test program), or LOIs with potential customers?","[0, 1]",,1,FALSE,,
12,Are key milestone accomplishments presented?,"[0, 1]",,1,FALSE,,
13,Does the company describe its technology status (TRL or otherwise)?,"[0, 1]",,1,FALSE,,
14,Is an IP strategy defined?,"[0, 1]",,1,FALSE,,
15,Is how the company's IP supports the value proposition described?,"[0, 1]",,1,FALSE,,
16,"Is a clear impact statement presented that covers environmental, social, and financial impact?","[0, 1]",,1,FALSE,,
17,Is there a description of the target market?,"[0, 1]",,1,FALSE,,
18,Is the TAM (total addressable market) evaluated and are assumptions provided?,"[0, 1]",,1,FALSE,,
19,Is the SAM (serviceable available market) evaluated and are assumptions provided?,"[0, 1]",,1,FALSE,,
20,"Is the target market share presented, with assumptions?","[0, 1]",,1,FALSE,,
21,Are additional markets identified?,"[0, 1]",,1,FALSE,,
22,Are the key costs/challenges of entering these additional markets discussed?,"[0, 1]",,1,FALSE,,
23,Has the company described anticipated direct and indirect competition?,"[0, 1]",,1,FALSE,,
24,Are the company's proposed benefits over the competition described?,"[0, 1]",,1,FALSE,,
25,Has the company presented its funding history?,"[0, 1]",,1,FALSE,,
26,Has the company presented its fundraising plans (forward looking)?,"[0, 1]",,1,FALSE,,
27,Is the use of defined funds discussed?,"[0, 1]",,1,FALSE,,
28,Does the company have a video that is current and consistent with the overview?,"[0, 1]",,1,FALSE,,
29,Is the video available to the public?,"[0, 1]",,1,FALSE,,
30,Is there a description of the management team?,"[0, 1]",,1,FALSE,,
31,Is there a formal location? (E.G. HQ address),"[0, 1]",,1,FALSE,,
32,Is the company's revenue history and projection(s) presented?,"[0, 1]",,1,FALSE,,
33,Is the projection consistent with SAM and target market share? (IE SAM x Market Share % = projected revenue),"[0, 1]",,1,FALSE,,
34,"Is revenue for year N divided by revenue for year N-1 a constant? If yes, is that assumption explained?","[0, 1]",,1,FALSE,,
,,,,,,,
,10. Investor Pitch ,,,,,,
1,Is there an elevator pitch?,"[0, 1]",,1,FALSE,,
2,Does the presentation define the business and reason for existence?,"[0, 1]",,1,FALSE,,
3,"Is there a visual ""model"" built upon in the ""problem"" and ""solution"" slides?","[0, 1]",,1,FALSE,,
4,Does the overview contain two to five high-level succinct bullets?,"[0, 1]",,1,FALSE,,
5,"Is there a compelling pain point that will make a customer write a check (revenues, costs, time, productivity, market reach, etc.)?","[0, 1]",,0,FALSE,,
6,"Is it a ""must-solve"" not merely ""nice-to-solve"" problem?","[0, 1]",,0,FALSE,,
7,"Is there a visual ""model"" depicting the problem?","[0, 1]",,1,FALSE,,
8,Is a historical evolution depicted?,"[0, 1]",,1,FALSE,,
9,Are meaningful validating quotes included?,"[0, 1]",,0,FALSE,,
10,Does the problem suggest a large market?,"[0, 1]",,0,FALSE,,
11,"Is the solution a compelling value proposition clearly benefitting the customer's business (revenues, costs, time, productivity, market, etc.)?","[0, 1]",,0,FALSE,,
12,"Is there a visual ""model"" depicting the solution?","[0, 1]",,1,FALSE,,
13,Does the solution clearly fit in the customer's ecosystem?,"[0, 1]",,0,FALSE,,
14,Does the presentation depict differentiation and technical elegance but avoid the weeds?,"[0, 1]",,0,FALSE,,
15,Does the presentation clearly define the market?,"[0, 1]",,0,FALSE,,"""clearly"" makes it seemingly subjective "
16,"Is there a target vertical, buyer/user, or application?","[0, 1]",,1,FALSE,,
17,Are market size/growth presented?,"[0, 1]",,1,FALSE,,
18,Are any of the following shown: TAM/SAM/SOM/CAGR?,"[0, 1]",,1,FALSE,,
19,Are historical trends projected into the future?,"[0, 1]",,1,FALSE,,
20,Does the methodology combine quantitative rigor with qualitative sensitivity?,"[0, 1]",,0,FALSE,,
21,Is there a balance between exciting opportunity vs. chance of success?,"[0, 1]",,0,FALSE,,
22,"Does the presentation discuss current and potential competitors (Incumbents, Startups, In-House, Substitutes)?","[0, 1]",,1,FALSE,,
23,Does the presentation provide a framework to demonstrate differentiation (BCG grid and/or benefits matrix)?,"[0, 1]",,0,FALSE,,
24,Does the presentation use customer-centric attributes and dimensions?,"[0, 1]",,1,FALSE,,
25,"Does the presentation demonstrate knowledge of the landscape, including past failures?","[0, 1]",,0,FALSE,,
26,Does the presentation embrace competitor strengths + know its own weaknesses (self-awareness)?,"[0, 1]",,1,FALSE,,
27,"Does the presentation highlight secret sauce, competitive advantages, barriers to entry?","[0, 1]",,1,FALSE,,
28,Does the presentation translate key points between business and technical domain?,"[0, 1]",,1,FALSE,,
29,"Does it show how customers and partners fit in, if possible?","[0, 1]",,1,FALSE,,
30,Does it remain focused on the essential value proposition?,"[0, 1]",,0,FALSE,,
31,Does it talk to important but peripheral issues and details while avoiding clutter?,"[0, 1]",,0,FALSE,,
32,"Does it address ""invent vs. integrate"" issues?","[0, 1]",,1,FALSE,,
33,Does it show that the company will invent only uniquely competitive elements?,"[0, 1]",,0,FALSE,,
34,"Does it show an incremental development path that reduces risk, if possible?","[0, 1]",,0,FALSE,,
35,Does the presentation show what customers buy and how they buy it?,"[0, 1]",,1,FALSE,,
36,"Does it discuss high level pricing (e.g., annuity or one fee)?","[0, 1]",,1,FALSE,,
37,Does it describe what the customer will get (today and beyond)?,"[0, 1]",,1,FALSE,,
38,Does it profile the customer (vertical/buyer or user/application)?,"[0, 1]",,1,FALSE,,
39,Does it profile critical partner relationships (current and future)?,"[0, 1]",,1,FALSE,,
40,Does it show a marketing and sales plan?,"[0, 1]",,1,FALSE,,
41,Does it show a value chain and sales cycle?,"[0, 1]",,1,FALSE,,
42,Does it compare and contrast to industry comparables?,"[0, 1]",,1,FALSE,,
43,Does the presentation show credibility and strategic orchestration of team members?,"[0, 1]",,0,FALSE,,
44,Does the team show domain expertise and unique customer insight?,"[0, 1]",,0,FALSE,,
45,Does the CEO hire people with skills better than their own?,"[0, 1]",,0,FALSE,,"Does it mean ""better"" or ""different""?"
46,"Does the presentation show what's missing, if applicable, or show that nothing is missing?","[0, 1]",,0,FALSE,*,
47,Does it show previous companies and titles (industry recognition where meaningful)?,"[0, 1]",,1,FALSE,,
48,Does it show the Board of Directors?,"[0, 1]",,1,FALSE,,
49,Does the Company present thorough and thoughtful financials?,"[0, 1]",,0,FALSE,,
50,"Has the Company provided a P&L, income statement, and balance sheet?","[0, 1]",,1,FALSE,,
51,Has the Company provided high-level 3- or 5-year projections?,"[0, 1]",,1,FALSE,,
52,Do the financials break out revenues and expenses by major category?,"[0, 1]",,1,FALSE,,
53,"Do the financials include pre-tax profit (loss), cash flow, capital requirements, and headcount?","[0, 1]",,1,FALSE,,
54,Has the Company defined milestone targets?,"[0, 1]",,1,FALSE,,
55,Do the financials identify when the Company expects its first revenues?,"[0, 1]",,1,FALSE,,
56,Do the financials identify when the Company expects to become cash-flow positive?,"[0, 1]",,1,FALSE,,
57,"Has the Company demonstrated tangible competitive barriers (e.g., customers, IP)?","[0, 1]",,1,FALSE,,
58,Do the projections show a $100M/yr run rate by year 5?,"[0, 1]",,1,FALSE,,
