A,,,,,"   Indicators MAIN IDEAS 1) PROOF OF CONTINUED EXISTENCE, OR DEATH 2) DID THEY RAISE $$, WHAT FORM, AND HOW MUCH 3) COMMUNITY (e.g., jobs) OR ENVIRONMENTAL IMPACT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Name,Founder/Submitter,Industry,Year,Region,1-1) QUICK GLANCE AT COMPANY FOR PROOF OF EXISTENCE,From 2024 Data ,From 2024 Data ,From 2026 onwards,,  1-1) ONLINE PRESENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-2) IN-DEPTH RESEARCH FOR MORE PROOF (CHECK IF NEEDED),"   1-2) ADDITIONAL PROOF OF CONTINUED EXISTENCE, OR DEATH",,,,,,,,,,,,,,,2) EVIDENCE OF CAPITAL RAISES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accelerator,,,,3) Community or Environmental Impact,,,,,,,,,,,,,,,,,,,,
,,,,,,"Status as of 2024, Y=Alive, N=Dead, S=Maybe, A=Acquire",,Still Alive?,,Company Website (Google Search),,,,LinkedIn (Website),,,,,,,,,,,,,,,Online reviews,,,News articles,,,,,,Word of mouth,,,,,,,,Continued Membership in Industry Organizations (wiki),,,,Websites tracking failures,News stories,N,,,SEC Reg D filings (website here),,,,,,Website url,,,,Number of Funding Rounds,,,Total (disclosed) Funding Amount ($USD),,,,,,Latest Funding Year,,,,,Latest Funding Amount ($USD),,,,,,"Latest Funding Type (friends&family, seed, A-round, grant, etc)",,,,,Earliest Funding Year,,,,,Funding Type with most money raised,,,,,Year with most money raised,,,,,News about capital raise,,,,Word of mouth,,,,,Evidence of Expansion/Growth,,,,,,,Evidence of Global Expansion,,Evidence of environmental impact,,,,,,,,,,SCORED BY,DATE OF COMPLETION
Apeiron Technology,Han Cai,Chemicals and Advanced Materials,2018,West,,N,,S,2018,,N,,,N,,N,,N,,Han Cai,,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,,N,,N,,N,,,N,,N,,,N,,,N,,N,,Rebecca,3/7/2026
Aqua-Free Waterless Car Wash Tunnel Systems,Christi Love,"Agriculture, Water, Waste",2018,West,,Y,2024,S,2024,,N,,,N,,N,,N,,Christi Love,,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,,N,,N,,N,,,N,,N,,,N,,,N,,N,,Rebecca,3/7/2026
Arctica Solar,Adam Plesniak,Energy Generation,2018,West,,Y,2023,Y,2026,https://www.arcticasolar.com/,Y,2026,Blog post,Y,https://www.linkedin.com/company/arctica-solar,N,,Y,,Adam Plesniak,https://www.linkedin.com/in/adamplesniak,,https://x.com/adamplesniak,YouTube,,https://www.arcticasolar.com/,N,,N,,,N,,,,,,N,,N,,N,,N,,Y,Cleantech Open / CalSEED,Y,Cleantech Open,,,N,,N,N,,,,,,https://www.crunchbase.com/organization/arctica-solar,,,https://tracxn.com/d/companies/arctica-solar/__TqEKpNSlV-vc5ivQE1n2ObKm79shBW0NvOiU9nJluRQ,1,,,,,,Non-equity assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,Y,Y,Cleantech Open / CalSEED,2018,https://www.linkedin.com/company/arctica-solar,N,,N,,N,,,N,,N,,,Y,2026,https://www.arcticasolar.com/blogs/news,N,,Y,https://climatebase.org/company/5252/artica-solar,Rebecca,3/7/2026
Astrolabe Analytics,Robert Masse,Energy Generation,2018,West,,Y,2024,Y,2025,https://www.astrolabe-analytics.com/,Y,2025,copyright / careers page footer; latest dated news on homepage in 2024,Y,https://www.linkedin.com/company/astrolabe-analytics,Y,2024,N,,Robert Masse,https://www.linkedin.com/in/rcmasse,2023,https://x.com/AstrolabeInc/status/1736892854276858120,,,,N,,N,,,Y,2024,https://ncms.org/news/ncms-member-astrolabe-supports-usaid-project-in-bangladesh-that-advances-sustainable-energy-solutions/,N,,,N,,Y,2023,N,,N,,Y,NCMS,Y,Cascadia CleanTech Accelerator / NCMS,,,N,,N,N,,,,,,,https://pitchbook.com/profiles/company/267563-44,,https://tracxn.com/d/companies/astrolabe-analytics/__804x_e7Uum9hVr20vwC0bVGXBJYwmWE_zo1r4U6PUBQ,,$412K raised,1 round shown on Tracxn preview,,,,Grant,$412K,https://tracxn.com/d/companies/astrolabe-analytics/__804x_e7Uum9hVr20vwC0bVGXBJYwmWE_zo1r4U6PUBQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,https://www.astrolabe-analytics.com/blog/astrolabe-analytics-awarded-competitive-grant-from-the-national-science-foundation-for-forecasting-battery-health-and-maintenance-using-data-driven-predictive-analytics,2023,991095,Y,Y,Jones + Foster Accelerator; Cascadia CleanTech Accelerator,2018,https://www.astrolabe-analytics.com/blog/why-customer-retention-is-the-ultimate-growth-strategy,N,,N,,Y,H1B salary database / sponsor presence,2025,N,,N,,,N,,,N,,Y,https://seedfund.nsf.gov/awardees/phase-2/details/?company=taumat-llc,Rebecca,3/9/2026
BioPower Enterprises,Jacqueline Jones,"Agriculture, Water & Waste",2018,West,,N,,S,2024,https://www.biopowerenterprises.com/home,N,,,Y,https://www.linkedin.com/company/biopower-enterprises,N,,N,2022,Jacqueline Gilyard Jones,https://www.linkedin.com/in/jacquelinegjones,,https://x.com/biopowere,YouTube,2018,https://m.youtube.com/watch?v=Tuns8nkzn6k,N,,N,,,Y,2024,https://coe.gatech.edu/news/2024/11/tribute-parents-jacqueline-gilyard-jones-establishes-scholarship-expand-pipeline,N,,,N,,N,,N,,N,,N,,Y,Cleantech Open West,,https://coe.gatech.edu/news/2024/11/tribute-parents-jacqueline-gilyard-jones-establishes-scholarship-expand-pipeline,N,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,Y,Cleantech Open West; Founders Live Long Beach,2018,https://m.youtube.com/watch?v=Tuns8nkzn6k,N,,N,,N,,,N,,N,,,Y,2019,https://www.csulb.edu/institute-for-innovation-entrepreneurship/entrepreneur-showcase,Y,,Y,https://www.csulb.edu/institute-for-innovation-entrepreneurship/entrepreneur-showcase,Rebecca,3/16/2026
Carbon Analytics,Michael Thornton,Information Technology and Communications,2018,West,,Y,,Y,2025,https://www.co2analytics.com/,Y,2023,copyright,Y,https://www.linkedin.com/company/carbon-analytics,Y,2025,Y,,Michael Thornton,https://www.linkedin.com/in/thorntonmw,2016,https://www.facebook.com/co2analytics/mentions/,Facebook,2016,,N,,Y,,,Y,2021,https://www.prweb.com/releases/suku-partners-with-carbon-analytics-amp-moss-earth-to-support-retail-brands-in-achieving-net-zero-emissions-in-the-global-fight-against-climate-change-861904092.html,N,,,N,,Y,2023,N,,Y,,N,,Y,Oxygen Accelerator; MassChallenge; Sirius,,https://www.prweb.com/releases/suku-partners-with-carbon-analytics-amp-moss-earth-to-support-retail-brands-in-achieving-net-zero-emissions-in-the-global-fight-against-climate-change-861904092.html,N,,N,N,,,,,,,https://pitchbook.com/profiles/company/64361-62,,https://tracxn.com/d/companies/carbonanalytics/__QtVLbnxTWnPkqaJVScV0x4PxiKXNnU8k_j1rWeBXB00,,https://pitchbook.com/profiles/company/64361-62,,,,,,$122K,$25K,,,,https://pitchbook.com/profiles/company/64361-62,https://tracxn.com/d/companies/carbonanalytics/__QtVLbnxTWnPkqaJVScV0x4PxiKXNnU8k_j1rWeBXB00/funding-and-investors,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,https://pitchbook.com/profiles/company/64361-62,2016,$122K,Y,Y,,2013,https://sustainablebrands.com/read/carbon-analytics-supply-chain-carbon-footprint-measurement-made-easy,N,,N,,N,,,N,,N,2023,https://www.co2analytics.com/net-zero,Y,2025,https://www.linkedin.com/company/carbon-analytics,,,Y,https://www.theupeffect.com/blog/this-startup-helps-businesses-quantify-their-environmental-impact/,Rebecca,3/16/2026
Correlate,Benjamin Peters,Information Technology and Communications,2018,West,,Y,2024,Y,2024,https://www.correlate.energy/,Y,2023,news article,Y,https://www.linkedin.com/company/correlate-inc,N,,N,,Ben Peters,https://www.linkedin.com/in/mrbenjaminpeters,2023,https://x.com/CorrelateInfra/status/1735730255439286379,,,,N,,N,,,Y,2024,https://www.globenewswire.com/news-release/2024/07/25/2918614/0/en/Correlate-Energy-Converts-Nearly-8-Million-of-Debt-into-Preferred-Equity-Strengthening-Financial-Position-and-Converting-Most-of-Its-Debt-into-Equity.html,N,,,N,,Y,2024,N,,N,,N,,Y,CalSEED,,,N,,N,Y,2022,,$7.56M,,,,https://pitchbook.com/profiles/company/228346-75,https://www.dnb.com/business-directory/company-information.scientific_research_and_development_services.us.idaho.boise.html,https://www.otcmarkets.com/stock/CIPI/profile,1,https://pitchbook.com/profiles/company/228346-75,https://www.otcmarkets.com/stock/CIPI/profile,,,,Seed,,,,,,,,,,,,https://www.dnb.com/business-directory/company-information.scientific_research_and_development_services.us.idaho.boise.html,https://www.marketscreener.com/quote/stock/CORRELATE-ENERGY-CORP-120797809/company/,$507.5K,,,,,,,,,,,,,,,,,,,,Y,https://www.globenewswire.com/news-release/2024/07/25/2918614/0/en/Correlate-Energy-Converts-Nearly-8-Million-of-Debt-into-Preferred-Equity-Strengthening-Financial-Position-and-Converting-Most-of-Its-Debt-into-Equity.html,,"$8,000,000",Y,Y,CalSEED,,https://calseed.fund/case-study-category/51-100k/,N,,N,,N,,,N,,N,,,Y,2023,https://www.correlate.energy/news/correlate-energy-corp-successfully-completes-solar-project-at-american-tire-distributors-headquarters-showcasing-the-economic-benefits-of-clean-energy,N,,N,,Rebecca,3/16/2026
"EnerDapt, Inc",Zachary Denning,Information Technology and Communications *,2018,West,,Y,2018,A,2025,https://www.hank.re/,Y,,,Y,https://www.linkedin.com/company/hankengineer,N,2022,N,,Zachary Denning,https://www.linkedin.com/in/zachdenning,2021,https://x.com/thezachdenning,YouTube,2020,https://www.youtube.com/watch?v=uGDp52OuO1Y,N,,N,,,Y,2025,https://cleanstart.org/blog/hank-navigating-the-path-of-innovation-in-commercial-real-estate/,N,,,N,,Y,2022,N,,Y,,N,,Y,Cleantech Open,,https://www.jll.com/en-us/newsroom/jll-acquires-proptech-company-hank,N,,Y,N,,,,,,,https://pitchbook.com/profiles/company/267648-85,,CB Insights,,https://pitchbook.com/profiles/company/267648-85,https://www.cbinsights.com/company/hankre,,,,,,https://www.jll.com/en-us/newsroom/jll-acquires-proptech-company-hank,,,,https://pitchbook.com/profiles/company/267648-85,https://www.cbinsights.com/company/hankre,,,,Formerly VC-backed,,Acquired by JLL in 2022,,,,Acquired/Merged,https://www.jll.com/en-us/newsroom/jll-acquires-proptech-company-hank,,,,Formerly Known As EnerDapt,https://cleanstart.org/blog/enerdapt-now-hank-makes-significant-advance/,,,,,,,,,,,Y,https://cleanstart.org/blog/enerdapt-now-hank-makes-significant-advance/,2019,,Y,Y,LAUNCH Accelerator,2019,https://cleanstart.org/blog/enerdapt-now-hank-makes-significant-advance/,N,,N,,N,,,N,,N,,,Y,,https://www.hank.re/,Y,2020,Y,https://www.jll.com/en-us/guides/energy-management-services,Rebecca,3/16/2026
Everflux Technologies,Daniel Enking,"Agriculture, Water & Waste",2018,West,,N,2021,S,2025,http://www.everflux.tech,N,,,Y,https://www.linkedin.com/company/everflux-technologies,N,,N,2021,Daniel Enking,https://www.linkedin.com/in/danielenking,,,Facebook,2021,https://www.facebook.com/everflux.tech/,N,,N,,,Y,2021,https://music.amazon.co.uk/podcasts/17d5ddc8-a6ff-4c68-927c-779012830b4a/episodes/100b0e25-6f11-4c00-a3d7-876ed8906c65/blazed-weekly-news-episode-20-everflux-technologies-green-mountain-flower-co,N,,,N,,Y,2022,N,,N,,N,,Y,CDFA Organic Input Material (OIM) program,,,N,,N,N,,,USD 0.48M,,,,https://pitchbook.com/profiles/company/179304-94,https://www.dnb.com/business-directory/company-information.other_crop_farming.us.california.oakland,https://wellfound.com/company/everflux-technologies/funding,,https://pitchbook.com/profiles/company/179304-94,https://wellfound.com/company/everflux-technologies/funding,,,,,,USD 170K,,,,https://pitchbook.com/profiles/company/179304-94,https://wellfound.com/company/everflux-technologies/funding,,,,,USD 0.48M,USD 170K,,,,,https://wellfound.com/company/everflux-technologies/funding,,,,,https://bouncewatch.com/explore/startup/everflux-technologies,,,,,USD 170K,,,,,,Y,https://wellfound.com/company/everflux-technologies/funding,2020,USD 170K,Y,Y,Cleantech Open; CanopyBoulder,2017; 2019,https://bouncewatch.com/explore/startup/everflux-technologies,N,,N,,N,,,N,https://bouncewatch.com/explore/startup/everflux-technologies,N,,,N,,https://m.facebook.com/everflux.tech/photos/our-founder-ceo-daniel-enking-with-a-giant-broccoli-plant-grown-in-his-urban-gar/2933571986913167/,Y,2021,Y,https://cdn.commercev3.net/cdn.arbico-organics.com/downloads/Everflux-White-Paper-High-Yield-Natural-Farming.pdf,Rebecca,3/16/2026
Fluency Lighting Technologies,Kristin Denault,Energy Efficiency,2018,West,,N,2024,N,2025,https://fluencylighting.com/,N,2025,parked-domain copyright page,N,,N,,N,,N/A,,,https://www.youtube.com/watch?v=mh5A6pXnwIo,YouTube,2014,https://www.youtube.com/watch?v=mh5A6pXnwIo,N,,Y,Glassdoor,,Y,2020,https://www.energy.gov/eere/buildings/articles/building-technologies-office-funds-20-small-business-rd-building-efficiency,N,,,Y,,Y,2022,N,,N,,N,,N,,,,N,,N,N,,,,,,,https://pitchbook.com/profiles/company/168980-68,,https://www.buzzfile.com/business/Fluency-Lighting-Technologies%2C-Inc.-914-260-9785,,https://pitchbook.com/profiles/company/168980-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,Y,Goleta Entrepreneurial Magnet (GEM) Summer Accelerator,2014,https://www.independent.com/2014/06/19/goleta-entrepreneurial-magnet-selects-six-startups/,N,,N,,N,,,N,,N,,,N,,,N,,Y,https://www.energy.gov/eere/buildings/articles/building-technologies-office-funds-20-small-business-rd-building-efficiency,Rebecca,3/17/2026
Glint Photonics,Peter Kozodoy,Energy Efficiency,2018,West,,Y,2024,A,2024,https://www.glintphotonics.com/,Y,2024,acquisition notice / copyright update,Y,https://www.linkedin.com/company/glint-lighting-inc/,Y,2019,N,,Peter Kozodoy,https://www.linkedin.com/in/peterkozodoy/,,https://twitter.com/GlintPhotonics,Facebook,2024,https://www.facebook.com/glintlightinginc/posts/,N,,Y,Indeed,,Y,2024,https://www.luminii.com/press/luminii-acquires-california-based-glint-lighting-expanding-north-america-presence-and-bringing-new-product-innovations-to-its-growing-roster-of-architectural-lighting-solutions/,N,,,N,,Y,2023,N,,Y,2025,N,,Y,Cleantech Open,,,N,,Y,N,,,,,,,https://pitchbook.com/profiles/company/166521-43,,,,https://pitchbook.com/profiles/company/166521-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,,N,,N,,N,,,N,,N,,,N,,,N,,Y,https://www.energizeinnovation.fund/innovation-partner/glint-photonics-inc,Rebecca,3/17/2026
Hydrobee,Burt Hammer,Energy Generation,2018,West,,Y,2023,Y,2022,https://hydrobee.com,Y,,,Y,https://www.linkedin.com/company/hydrobee-inc-/,N,,Y,,Burt Hammer ,https://www.linkedin.com/in/burtonhamner/,,,,,,N,,Y,Amazon,https://www.amazon.com/Rechargeable-Batteries-Re-Charge-ECO-Friendly-Security/dp/B07HCSQHML/ref=sr_1_1?dib=eyJ2IjoiMSJ9.2xOyZjVFXC8jOV9ue8Yinw.RzrWFeNDZ3ZY3ntDG-HfBuTO-PtsQEACcxYrLKpzjcI&dib_tag=se&m=A1BYCYHQ8DV2E3&nsdOptOutParam=true&qid=1772649735&s=merchant-items&sr=1-1#averageCustomerReviewsAnchor,N,,,N,,,N,,Y,2014,N,,N,,N,,N,,,,N,,,Y,2014,"Debt, Security",1-1mil,"60,000","60,000",https://www.crunchbase.com/organization/hydrobee,https://pitchbook.com/profiles/company/90410-59,,,,5,,,,,Accelerator/Incubator,12K,,,,,2023,,,,,N/A,,,,,,Accelerator,,,,,2013,,,,,Accelerator,,,,,2013,,N,,,,N,N,,,,N,,N,,,,,,,N,,,N,,,N,,N,,Henry,3/4/2026
Intertie,Richard Mrlik,Energy Distribution and Storage,2018,West,,Y,2024,Y,2026,https://www.intertie.com/,Y,2022,News page,Y,https://www.linkedin.com/company/intertie-incorporated,N,,Y,,Richard Mrlik,https://www.linkedin.com/in/richard-mrlik-43b4118/,,,,,,N,,N,,,N,,,N,,,N,,Y,2025,N,,Y,2024,Y,WREGIS,Y,WREGIS,,,N,,N,N,,,,,,,,,https://i3connect.com/company/intertie--56326,2,,,,,,Series A; grants,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,Y,https://gcxnrel.com/wp-content/uploads/2022/02/GCxN_2021_Year_In_Review-2.pdf,2021,,N,Y,CalSEED,2020,https://calseed.fund/awardee/intertie/,Y,,N,,N,,,N,,N,,,Y,2022,https://www.intertie.com/,N,,Y,https://www.energy.ca.gov/publications/2026/design-build-and-test-advanced-power-electronics-module-enables-electric-vehicle?utm_source=chatgpt.com,Rebecca,3/17/2026
Kilowatt Killer,Antonio Aquino ,Information Technology and Communications,2018,West,,N,2023,S,2024,,N,,,N,,N,,N,,"Kilowatt Killer""",https://www.linkedin.com/in/kilowatt-killer-323171171,,,Instagram,2024,https://www.instagram.com/fanbutler/,N,,N,,,Y,2019,https://www.innov8social.com/2019/04/impactathon-ucla-anderson-2019-in-partnership-with-the-sam-initiative?utm_source=chatgpt.com,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,,N,,N,,N,,,N,,N,,,N,,,N,,Y,https://contest.techbriefs.com/2019/entries/consumer-products/9679-0617-220335-kilowatt-killer-a-patented-smart-switch-with-ecological-intelligence?utm_source=chatgpt.com,Rebecca,3/17/2026
Lucent Optics,Sergey Vasylyev,Green Building,2018,West,,Y,2024,Y,2024,https://lucentoptics.com/,Y,2024,"copyright / website footer""",N,,N,,Y,,Sergiy Vasylyev,https://www.linkedin.com/in/sergiy-vasylyev,,,YouTube,2023,https://m.youtube.com/%40lucentoptics9455,N,,N,,,Y,2023,https://www.energy.ca.gov/sites/default/files/2023-06/CEC-500-2023-045.pdf,N,,,N,,Y,2023,N,,N,,N,,Y,Cleantech Open; CalSEED / Energize Innovation,,https://cleanstart.org/blog/enerdapt-and-lucent-optics-get-statewide-attention-via-calseed/,N,,N,N,,,,,,,https://pitchbook.com/profiles/company/300315-52,,https://www.cbinsights.com/company/svv-technology-innovations,,https://pitchbook.com/profiles/company/300315-52,https://www.cbinsights.com/company/svv-technology-innovations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,https://www.energizeinnovation.fund/projects/ultra-thin-flexible-led-lighting-panels,2023,1692069,Y,Y,Cleantech Open,2018,https://science.osti.gov/-/media/sbir/pdf/Success-Stories/Lucent-Optics_success-story_EERE_2019.pdf,N,,N,,N,,,N,,N,,,Y,2024,https://lucentoptics.com/window_film/,Y,2023,Y,https://www.energy.gov/eere/ssl/lucent-optics-develops-coreglotm-led-lighting-panel,Rebecca,3/17/2026
Maxout Renewables,Eric Cummings,Energy Generation,2018,West,,Y,2023,Y,2025,https://www.maxoutrenewables.com/,Y,2022,event/news announcement on homepage,Y,https://www.linkedin.com/company/maxout-renewables,N,,Y,,Eric Cummings,https://www.linkedin.com/in/eric-cummings-737a411,,,YouTube,2020,https://m.youtube.com/channel/UCcfyxanOLcP1yNuXtZQB29Q/videos,N,,Y,Glassdoor,,Y,2024,https://www.sbir.gov/awards/214202,N,,,N,,Y,2024,N,,Y,2025,Y,Cleantech Open alumni / CalSEED ecosystem,Y,Cleantech Open,,,N,,N,N,,,,,,,,,Tracxn,1,,https://tracxn.com/d/companies/maxout-renewables/__bHHimYQwbzEuHnPs41Zzd9d6xmudF_z_wk6zZtVSODU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,https://www.maxoutrenewables.com/news,2024,200000,Y,Y,American-Made Solar Prize; CalSEED,2020,https://www.energy.gov/eere/solar/american-made-solar-prize-round-3,N,,N,,N,,,N,,N,,,Y,2020,https://www.maxoutrenewables.com/news,N,,Y,https://www.energy.gov/eere/solar/solar-topics-small-business-innovation-research-and-small-business-technology-transfer,Rebecca,3/17/2026
MMCISolar,Mark Miles,Energy Generation,2018,West,,Y,2022,Y,2026,https://www.mmcisolar.com/,Y,2017,"news post and copyright""",N,,N,,Y,,Mark Miles,https://www.linkedin.com/in/mark-miles-4377bb6,,,,,,N,,N,,,Y,2025,"https://www.energy.ca.gov/sites/default/files/2025-06/GFO-23-318_NOPA_Results_Table_2025-06-27_ada.xlsx""",N,,,N,,Y,2020,N,,Y,2021,N,,Y,California Solar & Storage Association (CALSSA),,,N,,N,N,,,,,,,https://pitchbook.com/profiles/company/277169-14,,https://tracxn.com/d/companies/mmcisolar/__kqoknHroaBIuYLK1TmKVVA7HToCCsgIi50hLuPrtrKc,,https://pitchbook.com/profiles/company/277169-14,https://tracxn.com/d/companies/mmcisolar/__kqoknHroaBIuYLK1TmKVVA7HToCCsgIi50hLuPrtrKc/funding-and-investors,,,,Grant,$150K,,,,,https://pitchbook.com/profiles/company/277169-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,https://www.mmcisolar.com/news,2017,$150K,Y,Y,CalSEED,2017,News — MMCISolar,N,,N,,N,,,N,,N,,,Y,2017,https://www.mmcisolar.com/social-impact,N,,N,,Rebecca,3/17/2026
Msbai,Allan Grosvenor,Information Technology and Communications,2018,West,,Y,2024,Y,2026,https://msb.ai/,Y,2024,"News post""",Y,https://www.linkedin.com/company/msbai,Y,,Y,,Allan Grosvenor,https://www.linkedin.com/in/allangrosvenor,2025,https://x.com/microsurgeonbot,Instagram,2026,https://www.instagram.com/msb.ai/,N,,Y,Facebook,,Y,2025,https://www.prnewswire.com/news-releases/nasa-selects-msbai-to-turn-air-rules-into-design-tools-302588500.html,N,,,N,,Y,2023,N,,N,,N,,N,,,,N,,N,N,,"Class B, Non-voting Shares",1696842,1069999.04,,,https://pitchbook.com/profiles/company/267019-66,,StartEngine,,https://pitchbook.com/profiles/company/267019-66,https://www.startengine.com/offering/msbai,,,,Crowdfunding,,https://www.sec.gov/Archives/edgar/data/1762827/000166516021000953/xslC_X01/primary_doc.xml,,,,https://pitchbook.com/profiles/company/267019-66,https://www.startengine.com/offering/msbai,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,https://www.startengine.com/offering/msbai,2021,1069999.04,Y,Y,Air Force Accelerator Powered by Techstars,2020,https://www.techstars.com/newsroom/air-force-accelerator-powered-by-techstars-announces-class-of-2020,N,,Y,2026,N,,,N,,N,,,N,,,N,,N,,Rebecca,3/17/2026
Nativus,Dan Poirier,Green Building,2018,West,,Y,2024,Y,2024,https://www.nativuspower.com/,Y,2024,copyright footer update,Y,https://www.linkedin.com/company/nativus,N,,N,,Matt Miller,https://www.linkedin.com/in/mrmattmiller,,,YouTube (third-party interview featuring founder/company),2024,https://www.youtube.com/watch?v=SX50WXrVI6Q,N,,Y,Glassdoor,2025,Y,2020,https://www.energy.ca.gov/sites/default/files/2021-05/CEC-500-2020-009-SUM.pdf,N,,,N,,Y,2024,N,,N,,N,,N,,,,N,,N,N,,,,,,,,,https://tracxn.com/d/companies/nativus/__VjW3sxt_5fNGKOr8KXZY5g6pTyyXI7pxiKvIUOoeLzI,,,https://tracxn.com/d/companies/nativus/__VjW3sxt_5fNGKOr8KXZY5g6pTyyXI7pxiKvIUOoeLzI,,,,,,https://tracxn.com/d/companies/nativus/__VjW3sxt_5fNGKOr8KXZY5g6pTyyXI7pxiKvIUOoeLzI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,https://www.inknowvation.com/sbir/companies/nativus-inc,2020,1225000,Y,Y,Cleantech Open; CalSEED / New Energy Nexus,2018; 2021,https://www.cleantechopen.org/en/challenge/2018-us-accelerator/25/alumni/view/18637,N,,N,,N,,,N,,N,,,Y,2024,https://www.nativuspower.com/,Y,2024,Y,https://www.energy.ca.gov/sites/default/files/2021-05/CEC-500-2020-009-SUM.pdf,Rebecca,3/17/2026
"Opus 12, Inc. (REBRANDED to Twelve Benefit Corporation)",Nicholas Flanders,Chemicals and Advanced Materials,2018,West,,Y,2024,Y,2026,https://www.twelve.co/,Y,2026,blog/article,Y,https://www.linkedin.com/company/twelveco2,Y,2026,Y,,Nicholas Flanders,https://www.linkedin.com/in/nicholas-flanders-co2,2024,https://x.com/twelve_co2/status/1762913035260453193,YouTube,2025,https://m.youtube.com/%40Twelve.CO2/videos,N,,Y,Glassdoor,2024,Y,2026,https://www.techstars.com/blog/startup-profile/building-a-world-from-thin-air-how-twelve-is-turning-co2-into-every-day,N,,,N,,Y,2025,N,,N,,N,,N,,,,N,,N,N,,,,,,,,,Clay,,,https://www.clay.com/dossier/twelve-funding,,,,,,https://www.twelve.co/post/twelve-announces-645-million-in-funding-led-by-tpg-to-transform-co2-in-jet-fuel-and-e-chemicals-a-s,,,,,https://www.businesswire.com/news/home/20210708005231/en/Twelve-Formerly-Opus-12-Secures-%2457-Million-in-Series-A-Funding-Led-by-Capricorn-and-Carbon-Direct,,,,,,https://www.businesswire.com/news/home/20220629005271/en/Twelve-to-Deploy-Worlds-First-Industrial-Scale-Carbon-Transformation-Platform,,,,,https://www.twelve.co/post/twelve-announces-645-million-in-funding-led-by-tpg-to-transform-co2-in-jet-fuel-and-e-chemicals-a-s,,,,,https://www.twelve.co/post/building-a-world-made-from-air-twelve-secures-83-million-in-additional-series-c-project-funding,,,,,,,,,,,Y,https://www.twelve.co/post/building-a-world-made-from-air-twelve-secures-83-million-in-additional-series-c-project-funding,2025,85000000,Y,Y,Cyclotron Road; Techstars,2015; 2018,https://www.techstars.com/blog/startup-profile/building-a-world-from-thin-air-how-twelve-is-turning-co2-into-every-day,Y,2026,N,,Y,,,N,,Y,,,Y,,https://www.twelve.co/post/e-jet-saf-faq,Y,2026,Y,https://www.twelve.co/post/twelve-named-a-time-s-2025-world-s-top-greentech-companies,Rebecca,3/17/2026
